x1,x2,y_krig,mse
   -1.000000       4.008793
     -1.959596       0.939394       1.054252
     -1.959596       0.959596       1.118704
     -1.959596       0.979798       1.190035
     -1.959596       1.000000       1.267905

     -1.919192      -1.000000       3.974420
     -1.919192      -0.979798       3.842527
     -1.919192      -0.959596       3.715295
     -1.919192      -0.939394       3.593206
     -1.919192      -0.919192       3.476712
     -1.919192      -0.898990       3.366235
     -1.919192      -0.878788       3.262162
     -1.919192      -0.858586       3.164841
     -1.919192      -0.838384       3.074581
     -1.919192      -0.818182       2.991646
     -1.919192      -0.797980       2.916259
     -1.919192      -0.777778       2.848593
     -1.919192      -0.757576       2.788775
     -1.919192      -0.737374       2.736880
     -1.919192      -0.717172       2.692936
     -1.919192      -0.696970       2.656918
     -1.919192      -0.676768       2.628751
     -1.919192      -0.656566       2.608309
     -1.919192      -0.636364       2.595415
     -1.919192      -0.616162       2.589846
     -1.919192      -0.595960       2.591326
     -1.919192      -0.575758       2.599538
     -1.919192      -0.555556       2.614117
     -1.919192      -0.535354       2.634657
     -1.919192      -0.515152       2.660714
     -1.919192      -0.494949       2.691806
     -1.919192      -0.474747       2.727420
     -1.919192      -0.454545       2.767012
     -1.919192      -0.434343       2.810012
     -1.919192      -0.414141       2.855831
     -1.919192      -0.393939       2.903860
     -1.919192      -0.373737       2.953477
     -1.919192      -0.353535       3.004052
     -1.919192      -0.333333       3.054952
     -1.919192      -0.313131       3.105542
     -1.919192      -0.292929       3.155194
     -1.919192      -0.272727       3.203288
     -1.919192      -0.252525       3.249220
     -1.919192      -0.232323       3.292404
     -1.919192      -0.212121       3.332276
     -1.919192      -0.191919       3.368301
     -1.919192      -0.171717       3.399972
     -1.919192      -0.151515       3.426821
     -1.919192      -0.131313       3.448416
     -1.919192      -0.111111       3.464366
     -1.919192      -0.090909       3.474325
     -1.919192      -0.070707       3.477995
     -1.919192      -0.050505       3.475126
     -1.919192      -0.030303       3.465520
     -1.919192      -0.010101       3.449031
     -1.919192       0.010101       3.425568
     -1.919192       0.030303       3.395092
     -1.919192       0.050505       3.357620
     -1.919192       0.070707       3.313224
     -1.919192       0.090909       3.262030
     -1.919192       0.111111       3.204214
     -1.919192       0.131313       3.140008
     -1.919192       0.151515       3.069692
     -1.919192       0.171717       2.993592
     -1.919192       0.191919       2.912083
     -1.919192       0.212121       2.825581
     -1.919192       0.232323       2.734541
     -1.919192       0.252525       2.639455
     -1.919192       0.272727       2.540848
     -1.919192       0.292929       2.439274
     -1.919192       0.313131       2.335311
     -1.919192       0.333333       2.229559
     -1.919192       0.353535       2.122633
     -1.919192       0.373737       2.015164
     -1.919192       0.393939       1.907785
     -1.919192       0.414141       1.801137
     -1.919192       0.434343       1.695859
     -1.919192       0.454545       1.592583
     -1.919192       0.474747       1.491933
     -1.919192       0.494949       1.394518
     -1.919192       0.515152       1.300929
     -1.919192       0.535354       1.211738
     -1.919192       0.555556       1.127487
     -1.919192       0.575758       1.048694
     -1.919192       0.595960       0.975840
     -1.919192       0.616162       0.909376
     -1.919192       0.636364       0.849712
     -1.919192       0.656566       0.797218
     -1.919192       0.676768       0.752225
     -1.919192       0.696970       0.715018
     -1.919192       0.717172       0.685838
     -1.919192       0.737374       0.664878
     -1.919192       0.757576       0.652288
     -1.919192       0.777778       0.648167
     -1.919192       0.797980       0.652569
     -1.919192       0.818182       0.665501
     -1.919192       0.838384       0.686924
     -1.919192       0.858586       0.716753
     -1.919192       0.878788       0.754859
     -1.919192       0.898990       0.801071
     -1.919192       0.919192       0.855176
     -1.919192       0.939394       0.916924
     -1.919192       0.959596       0.986027
     -1.919192       0.979798       1.062162
     -1.919192       1.000000       1.144976

     -1.878788      -1.000000       3.958881
     -1.878788      -0.979798       3.824177
     -1.878788      -0.959596       3.694121
     -1.878788      -0.939394       3.569201
     -1.878788      -0.919192       3.449876
     -1.878788      -0.898990       3.336571
     -1.878788      -0.878788       3.229679
     -1.878788      -0.858586       3.129552
     -1.878788      -0.838384       3.036504
     -1.878788      -0.818182       2.950804
     -1.878788      -0.797980       2.872677
     -1.878788      -0.777778       2.802302
     -1.878788      -0.757576       2.739806
     -1.878788      -0.737374       2.685269
     -1.878788      -0.717172       2.638720
     -1.878788      -0.696970       2.600137
     -1.878788      -0.676768       2.569446
     -1.878788      -0.656566       2.546522
     -1.878788      -0.636364       2.531190
     -1.878788      -0.616162       2.523223
     -1.878788      -0.595960       2.522350
     -1.878788      -0.575758       2.528249
     -1.878788      -0.555556       2.540555
     -1.878788      -0.535354       2.558863
     -1.878788      -0.515152       2.582724
     -1.878788      -0.494949       2.611655
     -1.878788      -0.474747       2.645141
     -1.878788      -0.454545       2.682634
     -1.878788      -0.434343       2.723563
     -1.878788      -0.414141       2.767334
     -1.878788      -0.393939       2.813335
     -1.878788      -0.373737       2.860940
     -1.878788      -0.353535       2.909517
     -1.878788      -0.333333       2.958428
     -1.878788      -0.313131       3.007035
     -1.878788      -0.292929       3.054706
     -1.878788      -0.272727       3.100818
     -1.878788      -0.252525       3.144765
     -1.878788      -0.232323       3.185956
     -1.878788      -0.212121       3.223826
     -1.878788      -0.191919       3.257836
     -1.878788      -0.171717       3.287479
     -1.878788      -0.151515       3.312284
     -1.878788      -0.131313       3.331818
     -1.878788      -0.111111       3.345690
     -1.878788      -0.090909       3.353554
     -1.878788      -0.070707       3.355112
     -1.878788      -0.050505       3.350115
     -1.878788      -0.030303       3.338366
     -1.878788      -0.010101       3.319723
     -1.878788       0.010101       3.294096
     -1.878788       0.030303       3.261451
     -1.878788       0.050505       3.221808
     -1.878788       0.070707       3.175244
     -1.878788       0.090909       3.121889
     -1.878788       0.111111       3.061928
     -1.878788       0.131313       2.995597
     -1.878788       0.151515       2.923183
     -1.878788       0.171717       2.845021
     -1.878788       0.191919       2.761493
     -1.878788       0.212121       2.673023
     -1.878788       0.232323       2.580076
     -1.878788       0.252525       2.483152
     -1.878788       0.272727       2.382786
     -1.878788       0.292929       2.279541
     -1.878788       0.313131       2.174005
     -1.878788       0.333333       2.066789
     -1.878788       0.353535       1.958516
     -1.878788       0.373737       1.849827
     -1.878788       0.393939       1.741367
     -1.878788       0.414141       1.633783
     -1.878788       0.434343       1.527726
     -1.878788       0.454545       1.423835
     -1.878788       0.474747       1.322743
     -1.878788       0.494949       1.225068
     -1.878788       0.515152       1.131409
     -1.878788       0.535354       1.042343
     -1.878788       0.555556       0.958420
     -1.878788       0.575758       0.880161
     -1.878788       0.595960       0.808056
     -1.878788       0.616162       0.742557
     -1.878788       0.636364       0.684078
     -1.878788       0.656566       0.632993
     -1.878788       0.676768       0.589633
     -1.878788       0.696970       0.554283
     -1.878788       0.717172       0.527185
     -1.878788       0.737374       0.508531
     -1.878788       0.757576       0.498468
     -1.878788       0.777778       0.497093
     -1.878788       0.797980       0.504455
     -1.878788       0.818182       0.520557
     -1.878788       0.838384       0.545352
     -1.878788       0.858586       0.578751
     -1.878788       0.878788       0.620616
     -1.878788       0.898990       0.670768
     -1.878788       0.919192       0.728985
     -1.878788       0.939394       0.795007
     -1.878788       0.959596       0.868534
     -1.878788       0.979798       0.949235
     -1.878788       1.000000       1.036742

     -1.838384      -1.000000       3.944171
     -1.838384      -0.979798       3.807057
     -1.838384      -0.959596       3.674576
     -1.838384      -0.939394       3.547219
     -1.838384      -0.919192       3.425450
     -1.838384      -0.898990       3.309700
     -1.838384      -0.878788       3.200364
     -1.838384      -0.858586       3.097799
     -1.838384      -0.838384       3.002323
     -1.838384      -0.818182       2.914208
     -1.838384      -0.797980       2.833682
     -1.838384      -0.777778       2.760927
     -1.838384      -0.757576       2.696074
     -1.838384      -0.737374       2.639205
     -1.838384      -0.717172       2.590351
     -1.838384      -0.696970       2.549491
     -1.838384      -0.676768       2.516552
     -1.838384      -0.656566       2.491412
     -1.838384      -0.636364       2.473895
     -1.838384      -0.616162       2.463775
     -1.838384      -0.595960       2.460781
     -1.838384      -0.575758       2.464590
     -1.838384      -0.555556       2.474839
     -1.838384      -0.535354       2.491117
     -1.838384      -0.515152       2.512978
     -1.838384      -0.494949       2.539936
     -1.838384      -0.474747       2.571473
     -1.838384      -0.454545       2.607040
     -1.838384      -0.434343       2.646064
     -1.838384      -0.414141       2.687947
     -1.838384      -0.393939       2.732075
     -1.838384      -0.373737       2.777821
     -1.838384      -0.353535       2.824549
     -1.838384      -0.333333       2.871617
     -1.838384      -0.313131       2.918386
     -1.838384      -0.292929       2.964220
     -1.838384      -0.272727       3.008495
     -1.838384      -0.252525       3.050601
     -1.838384      -0.232323       3.089945
     -1.838384      -0.212121       3.125961
     -1.838384      -0.191919       3.158107
     -1.838384      -0.171717       3.185876
     -1.838384      -0.151515       3.208795
     -1.838384      -0.131313       3.226430
     -1.838384      -0.111111       3.238390
     -1.838384      -0.090909       3.244329
     -1.838384      -0.070707       3.243951
     -1.838384      -0.050505       3.237007
     -1.838384      -0.030303       3.223303
     -1.838384      -0.010101       3.202697
     -1.838384       0.010101       3.175102
     -1.838384       0.030303       3.140489
     -1.838384       0.050505       3.098881
     -1.838384       0.070707       3.050360
     -1.838384       0.090909       2.995060
     -1.838384       0.111111       2.933172
     -1.838384       0.131313       2.864938
     -1.838384       0.151515       2.790650
     -1.838384       0.171717       2.710652
     -1.838384       0.191919       2.625332
     -1.838384       0.212121       2.535122
     -1.838384       0.232323       2.440494
     -1.838384       0.252525       2.341957
     -1.838384       0.272727       2.240055
     -1.838384       0.292929       2.135359
     -1.838384       0.313131       2.028466
     -1.838384       0.333333       1.919994
     -1.838384       0.353535       1.810579
     -1.838384       0.373737       1.700868
     -1.838384       0.393939       1.591514
     -1.838384       0.414141       1.483175
     -1.838384       0.434343       1.376507
     -1.838384       0.454545       1.272160
     -1.838384       0.474747       1.170775
     -1.838384       0.494949       1.072974
     -1.838384       0.515152       0.979365
     -1.838384       0.535354       0.890530
     -1.838384       0.555556       0.807027
     -1.838384       0.575758       0.729380
     -1.838384       0.595960       0.658084
     -1.838384       0.616162       0.593593
     -1.838384       0.636364       0.536327
     -1.838384       0.656566       0.486660
     -1.838384       0.676768       0.444924
     -1.838384       0.696970       0.411406
     -1.838384       0.717172       0.386346
     -1.838384       0.737374       0.369936
     -1.838384       0.757576       0.362320
     -1.838384       0.777778       0.363592
     -1.838384       0.797980       0.373799
     -1.838384       0.818182       0.392936
     -1.838384       0.838384       0.420954
     -1.838384       0.858586       0.457755
     -1.838384       0.878788       0.503195
     -1.838384       0.898990       0.557086
     -1.838384       0.919192       0.619200
     -1.838384       0.939394       0.689265
     -1.838384       0.959596       0.766973
     -1.838384       0.979798       0.851981
     -1.838384       1.000000       0.943911

     -1.797980      -1.000000       3.929996
     -1.797980      -0.979798       3.790883
     -1.797980      -0.959596       3.656385
     -1.797980      -0.939394       3.526995
     -1.797980      -0.919192       3.403182
     -1.797980      -0.898990       3.285379
     -1.797980      -0.878788       3.173985
     -1.797980      -0.858586       3.069361
     -1.797980      -0.838384       2.971826
     -1.797980      -0.818182       2.881658
     -1.797980      -0.797980       2.799086
     -1.797980      -0.777778       2.724294
     -1.797980      -0.757576       2.657416
     -1.797980      -0.737374       2.598537
     -1.797980      -0.717172       2.547689
     -1.797980      -0.696970       2.504852
     -1.797980      -0.676768       2.469956
     -1.797980      -0.656566       2.442878
     -1.797980      -0.636364       2.423444
     -1.797980      -0.616162       2.411430
     -1.797980      -0.595960       2.406561
     -1.797980      -0.575758       2.408518
     -1.797980      -0.555556       2.416935
     -1.797980      -0.535354       2.431403
     -1.797980      -0.515152       2.451473
     -1.797980      -0.494949       2.476658
     -1.797980      -0.474747       2.506440
     -1.797980      -0.454545       2.540269
     -1.797980      -0.434343       2.577568
     -1.797980      -0.414141       2.617739
     -1.797980      -0.393939       2.660166
     -1.797980      -0.373737       2.704220
     -1.797980      -0.353535       2.749261
     -1.797980      -0.333333       2.794648
     -1.797980      -0.313131       2.839739
     -1.797980      -0.292929       2.883896
     -1.797980      -0.272727       2.926493
     -1.797980      -0.252525       2.966917
     -1.797980      -0.232323       3.004576
     -1.797980      -0.212121       3.038901
     -1.797980      -0.191919       3.069349
     -1.797980      -0.171717       3.095413
     -1.797980      -0.151515       3.116618
     -1.797980      -0.131313       3.132531
     -1.797980      -0.111111       3.142761
     -1.797980      -0.090909       3.146962
     -1.797980      -0.070707       3.144839
     -1.797980      -0.050505       3.136144
     -1.797980      -0.030303       3.120685
     -1.797980      -0.010101       3.098323
     -1.797980       0.010101       3.068974
     -1.797980       0.030303       3.032609
     -1.797980       0.050505       2.989258
     -1.797980       0.070707       2.939005
     -1.797980       0.090909       2.881990
     -1.797980       0.111111       2.818407
     -1.797980       0.131313       2.748505
     -1.797980       0.151515       2.672582
     -1.797980       0.171717       2.590987
     -1.797980       0.191919       2.504114
     -1.797980       0.212121       2.412403
     -1.797980       0.232323       2.316333
     -1.797980       0.252525       2.216421
     -1.797980       0.272727       2.113216
     -1.797980       0.292929       2.007299
     -1.797980       0.313131       1.899275
     -1.797980       0.333333       1.789769
     -1.797980       0.353535       1.679424
     -1.797980       0.373737       1.568895
     -1.797980       0.393939       1.458844
     -1.797980       0.414141       1.349936
     -1.797980       0.434343       1.242834
     -1.797980       0.454545       1.138196
     -1.797980       0.474747       1.036668
     -1.797980       0.494949       0.938880
     -1.797980       0.515152       0.845445
     -1.797980       0.535354       0.756952
     -1.797980       0.555556       0.673960
     -1.797980       0.575758       0.597003
     -1.797980       0.595960       0.526575
     -1.797980       0.616162       0.463136
     -1.797980       0.636364       0.407106
     -1.797980       0.656566       0.358863
     -1.797980       0.676768       0.318740
     -1.797980       0.696970       0.287023
     -1.797980       0.717172       0.263951
     -1.797980       0.737374       0.249716
     -1.797980       0.757576       0.244460
     -1.797980       0.777778       0.248273
     -1.797980       0.797980       0.261198
     -1.797980       0.818182       0.283228
     -1.797980       0.838384       0.314306
     -1.797980       0.858586       0.354330
     -1.797980       0.878788       0.403148
     -1.797980       0.898990       0.460567
     -1.797980       0.919192       0.526348
     -1.797980       0.939394       0.600211
     -1.797980       0.959596       0.681841
     -1.797980       0.979798       0.770883
     -1.797980       1.000000       0.866951

     -1.757576      -1.000000       3.915994
     -1.757576      -0.979798       3.775299
     -1.757576      -0.959596       3.639195
     -1.757576      -0.939394       3.508182
     -1.757576      -0.919192       3.382728
     -1.757576      -0.898990       3.263270
     -1.757576      -0.878788       3.150210
     -1.757576      -0.858586       3.043912
     -1.757576      -0.838384       2.944696
     -1.757576      -0.818182       2.852843
     -1.757576      -0.797980       2.768584
     -1.757576      -0.777778       2.692106
     -1.757576      -0.757576       2.623545
     -1.757576      -0.737374       2.562985
     -1.757576      -0.717172       2.510463
     -1.757576      -0.696970       2.465959
     -1.757576      -0.676768       2.429404
     -1.757576      -0.656566       2.400676
     -1.757576      -0.636364       2.379603
     -1.757576      -0.616162       2.365960
     -1.757576      -0.595960       2.359475
     -1.757576      -0.575758       2.359826
     -1.757576      -0.555556       2.366649
     -1.757576      -0.535354       2.379535
     -1.757576      -0.515152       2.398033
     -1.757576      -0.494949       2.421658
     -1.757576      -0.474747       2.449890
     -1.757576      -0.454545       2.482177
     -1.757576      -0.434343       2.517943
     -1.757576      -0.414141       2.556589
     -1.757576      -0.393939       2.597496
     -1.757576      -0.373737       2.640035
     -1.757576      -0.353535       2.683566
     -1.757576      -0.333333       2.727445
     -1.757576      -0.313131       2.771029
     -1.757576      -0.292929       2.813679
     -1.757576      -0.272727       2.854769
     -1.757576      -0.252525       2.893684
     -1.757576      -0.232323       2.929831
     -1.757576      -0.212121       2.962639
     -1.757576      -0.191919       2.991568
     -1.757576      -0.171717       3.016108
     -1.757576      -0.151515       3.035784
     -1.757576      -0.131313       3.050164
     -1.757576      -0.111111       3.058858
     -1.757576      -0.090909       3.061519
     -1.757576      -0.070707       3.057854
     -1.757576      -0.050505       3.047617
     -1.757576      -0.030303       3.030618
     -1.757576      -0.010101       3.006718
     -1.757576       0.010101       2.975837
     -1.757576       0.030303       2.937950
     -1.757576       0.050505       2.893089
     -1.757576       0.070707       2.841341
     -1.757576       0.090909       2.782852
     -1.757576       0.111111       2.717819
     -1.757576       0.131313       2.646495
     -1.757576       0.151515       2.569185
     -1.757576       0.171717       2.486243
     -1.757576       0.191919       2.398068
     -1.757576       0.212121       2.305106
     -1.757576       0.232323       2.207843
     -1.757576       0.252525       2.106802
     -1.757576       0.272727       2.002538
     -1.757576       0.292929       1.895639
     -1.757576       0.313131       1.786717
     -1.757576       0.333333       1.676404
     -1.757576       0.353535       1.565350
     -1.757576       0.373737       1.454215
     -1.757576       0.393939       1.343670
     -1.757576       0.414141       1.234386
     -1.757576       0.434343       1.127032
     -1.757576       0.454545       1.022271
     -1.757576       0.474747       0.920756
     -1.757576       0.494949       0.823123
     -1.757576       0.515152       0.729989
     -1.757576       0.535354       0.641948
     -1.757576       0.555556       0.559564
     -1.757576       0.575758       0.483373
     -1.757576       0.595960       0.413874
     -1.757576       0.616162       0.351529
     -1.757576       0.636364       0.296759
     -1.757576       0.656566       0.249945
     -1.757576       0.676768       0.211419
     -1.757576       0.696970       0.181468
     -1.757576       0.717172       0.160331
     -1.757576       0.737374       0.148198
     -1.757576       0.757576       0.145208
     -1.757576       0.777778       0.151449
     -1.757576       0.797980       0.166962
     -1.757576       0.818182       0.191733
     -1.757576       0.838384       0.225703
     -1.757576       0.858586       0.268762
     -1.757576       0.878788       0.320754
     -1.757576       0.898990       0.381477
     -1.757576       0.919192       0.450686
     -1.757576       0.939394       0.528095
     -1.757576       0.959596       0.613376
     -1.757576       0.979798       0.706169
     -1.757576       1.000000       0.806077

     -1.717172      -1.000000       3.901738
     -1.717172      -0.979798       3.759874
     -1.717172      -0.959596       3.622577
     -1.717172      -0.939394       3.490349
     -1.717172      -0.919192       3.363659
     -1.717172      -0.898990       3.242947
     -1.717172      -0.878788       3.128615
     -1.717172      -0.858586       3.021028
     -1.717172      -0.838384       2.920512
     -1.717172      -0.818182       2.827345
     -1.717172      -0.797980       2.741762
     -1.717172      -0.777778       2.663952
     -1.717172      -0.757576       2.594050
     -1.717172      -0.737374       2.532145
     -1.717172      -0.717172       2.478272
     -1.717172      -0.696970       2.432414
     -1.717172      -0.676768       2.394504
     -1.717172      -0.656566       2.364420
     -1.717172      -0.636364       2.341989
     -1.717172      -0.616162       2.326991
     -1.717172      -0.595960       2.319150
     -1.717172      -0.575758       2.318149
     -1.717172      -0.555556       2.323622
     -1.717172      -0.535354       2.335160
     -1.717172      -0.515152       2.352314
     -1.717172      -0.494949       2.374597
     -1.717172      -0.474747       2.401489
     -1.717172      -0.454545       2.432440
     -1.717172      -0.434343       2.466872
     -1.717172      -0.414141       2.504186
     -1.717172      -0.393939       2.543764
     -1.717172      -0.373737       2.584974
     -1.717172      -0.353535       2.627177
     -1.717172      -0.333333       2.669729
     -1.717172      -0.313131       2.711985
     -1.717172      -0.292929       2.753308
     -1.717172      -0.272727       2.793069
     -1.717172      -0.252525       2.830655
     -1.717172      -0.232323       2.865471
     -1.717172      -0.212121       2.896948
     -1.717172      -0.191919       2.924543
     -1.717172      -0.171717       2.947748
     -1.717172      -0.151515       2.966090
     -1.717172      -0.131313       2.979135
     -1.717172      -0.111111       2.986494
     -1.717172      -0.090909       2.987823
     -1.717172      -0.070707       2.982828
     -1.717172      -0.050505       2.971267
     -1.717172      -0.030303       2.952949
     -1.717172      -0.010101       2.927739
     -1.717172       0.010101       2.895559
     -1.717172       0.030303       2.856387
     -1.717172       0.050505       2.810257
     -1.717172       0.070707       2.757261
     -1.717172       0.090909       2.697546
     -1.717172       0.111111       2.631315
     -1.717172       0.131313       2.558825
     -1.717172       0.151515       2.480385
     -1.717172       0.171717       2.396353
     -1.717172       0.191919       2.307134
     -1.717172       0.212121       2.213179
     -1.717172       0.232323       2.114979
     -1.717172       0.252525       2.013061
     -1.717172       0.272727       1.907989
     -1.717172       0.292929       1.800354
     -1.717172       0.313131       1.690774
     -1.717172       0.333333       1.579887
     -1.717172       0.353535       1.468350
     -1.717172       0.373737       1.356828
     -1.717172       0.393939       1.245996
     -1.717172       0.414141       1.136533
     -1.717172       0.434343       1.029111
     -1.717172       0.454545       0.924401
     -1.717172       0.474747       0.823058
     -1.717172       0.494949       0.725725
     -1.717172       0.515152       0.633021
     -1.717172       0.535354       0.545545
     -1.717172       0.555556       0.463865
     -1.717172       0.575758       0.388520
     -1.717172       0.595960       0.320010
     -1.717172       0.616162       0.258801
     -1.717172       0.636364       0.205315
     -1.717172       0.656566       0.159933
     -1.717172       0.676768       0.122988
     -1.717172       0.696970       0.094768
     -1.717172       0.717172       0.075510
     -1.717172       0.737374       0.065402
     -1.717172       0.757576       0.064582
     -1.717172       0.777778       0.073137
     -1.717172       0.797980       0.091101
     -1.717172       0.818182       0.118459
     -1.717172       0.838384       0.155146
     -1.717172       0.858586       0.201048
     -1.717172       0.878788       0.256003
     -1.717172       0.898990       0.319803
     -1.717172       0.919192       0.392197
     -1.717172       0.939394       0.472889
